seed,hallucination_rate,controller,final_vhat,final_vtrue,viol_rate,conv_steps,pearson_r,spearman_r
48,0.1,adaptive,0.0,0.3894062595220993,0.30430430430430433,19,0.8439905934370142,0.1541210711346394
49,0.1,no_damping,9.992007221626409e-16,310881153065.09973,0.013013013013013013,1000,-0.4077725071683088,-0.8343240959609868
49,0.1,cosine,0.000204136394312833,0.0493354550668012,0.1981981981981982,529,0.12033306055756089,0.09611105581640612
49,0.1,grad_clip,0.0,0.1232551919229357,0.4974974974974975,7,0.13037177018528504,0.7337947865334523
49,0.1,adaptive,0.0,1.502047599247616,0.2992992992992993,11,0.8201770574707851,0.2485840747423533
50,0.1,no_damping,9.992007221626409e-16,466967769129.1857,0.013013013013013013,1000,-0.4312175027328745,0.6654574828537703
50,0.1,cosine,0.00021734327883330716,0.008734038325363042,0.1971971971971972,531,-0.004858163383178051,0.14656262404754838
50,0.1,grad_clip,0.0006227110016683807,0.07763821912609907,0.4954954954954955,8,0.11315883536033633,0.7176302474682756
50,0.1,adaptive,1700.3562299079254,15.913566784987735,0.2932932932932933,23,0.8364880660985028,0.3211419769593126
51,0.1,no_damping,9.992007221626409e-16,389048859095.1745,0.016016016016016016,1000,-0.39921627817334626,0.6540632982524571
51,0.1,cosine,8.945103967382291e-05,0.07647050768221507,0.2082082082082082,528,-0.01236915469705392,0.14830168626251855
51,0.1,grad_clip,0.10517289751654485,0.1924885033259022,0.5105105105105106,5,0.3199485526060324,0.7371732866177165
51,0.1,adaptive,0.0001600384201385564,0.036362119361717085,0.2912912912912913,14,0.8723450811773766,0.20218391293392235
52,0.1,no_damping,9.992007221626409e-16,238226751898.69455,0.013013013013013013,1000,-0.4016804062209573,-0.8350161350022779
52,0.1,cosine,0.00034926316406511397,0.04269284292083693,0.1941941941941942,529,0.04451172172290748,0.0888044205917561
52,0.1,grad_clip,0.001285967639898099,0.2402560775890216,0.5045045045045045,5,0.6382419307011867,0.7143285097256222
52,0.1,adaptive,0.003523754566760663,0.1177108847830796,0.28128128128128127,10,0.7976914388260081,0.2518669464407404
53,0.1,no_damping,9.992007221626409e-16,383713900072.5923,0.014014014014014014,1000,-0.41414315925440304,0.6618622909723444
53,0.1,cosine,0.000387649631831725,0.08770392554539337,0.2122122122122122,530,0.13682835763804066,0.42869541334844385
53,0.1,grad_clip,0.007090143691471113,0.2332914652677677,0.5105105105105106,6,0.1669677988887799,0.7627384770400588
53,0.1,adaptive,0.0,1.5905658685741995,0.3103103103103103,12,0.8695205453399245,0.27075178876448586
54,0.1,no_damping,9.992007221626409e-16,250427468167.86993,0.014014014014014014,1000,-0.3948440080754505,-0.8356315751645214
54,0.1,cosine,0.0003759568861301358,0.019050495141827443,0.2022022022022022,532,0.09582118473490181,0.08855024728093963
54,0.1,grad_clip,0.07403856064849182,0.20244952538501432,0.4944944944944945,8,0.08381261380572055,0.752356260212395
54,0.1,adaptive,0.00023998622399501755,0.08921807361562045,0.3053053053053053,27,0.8366354581402932,0.24725579266603667
55,0.1,no_damping,9.992007221626409e-16,400571970195.73773,0.013013013013013013,1000,-0.4160451639946575,0.666984609859904
55,0.1,cosine,0.0002192203922810042,0.02692248012021608,0.21121121121121122,530,-0.026622940162122157,0.200576584198444
55,0.1,grad_clip,0.0,0.1118308619475897,0.4844844844844845,13,0.020038016074546132,0.7206409302762866
55,0.1,adaptive,0.07709388374633033,0.14995078968074568,0.3073073073073073,29,0.7890584084834402,0.21509251978906643
56,0.1,no_damping,9.992007221626409e-16,253815183384.73328,0.015015015015015015,1000,-0.38047991206673376,0.6620399076127608
