final_energy,mean_energy,max_energy,oscillation_count,oscillation_index,regression_count,c1_alerts,c2_rejections,final_energy_std,mean_energy_std,max_energy_std,oscillation_count_std,oscillation_index_std,regression_count_std,c1_alerts_std,c2_rejections_std,h_rate,lr,drift_freq,drift_label,ablation,n_seeds
2.456417717461729e+201,1.0596559163653031e+199,2.456417717461729e+201,441.0,0.735,441.0,0.0,0.0,inf,inf,inf,5.310367218940701,0.00885061203156785,5.310367218940701,0.0,0.0,0.3,0.7,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.7,0,stationary,full,10
8.337076677983375e+262,3.270762715308796e+260,8.337076677983375e+262,437.7,0.7295,437.7,0.0,0.0,inf,inf,inf,5.235456045083369,0.00872576007513895,5.235456045083369,0.0,0.0,0.3,1.0,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,1.0,0,stationary,full,10
10716.117861350513,1409.091662211708,10716.725733642048,392.4,0.654,279.1,0.0,0.0,6834.883648933683,859.1663609143654,6834.404893404622,23.76636278440603,0.03961060464067674,40.227975340551254,0.0,0.0,0.4,0.01,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.01,0,stationary,full,10
9.76950973041057e+16,2519226974107275.0,9.769509730871018e+16,482.8,0.8046666666666666,469.5,0.0,0.0,1.358889647827644e+17,3377967434095750.0,1.3588896478045766e+17,13.227244611029162,0.022045407685048604,16.169415573854238,0.0,0.0,0.4,0.05,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.05,0,stationary,full,10
5.779747909495015e+32,7.353282378446527e+30,5.779747909495015e+32,485.1,0.8084999999999999,481.8,0.0,0.0,1.1486906552953272e+33,1.3853309438596644e+31,1.1486906552953272e+33,11.379367293483412,0.018965612155805684,11.53082824431966,0.0,0.0,0.4,0.1,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.1,0,stationary,full,10
3.1024247703116507e+62,2.063522094704309e+60,3.1024247703116507e+62,436.4,0.7273333333333334,435.7,0.0,0.0,7.176661392538226e+62,4.4458849478934266e+60,7.176661392538226e+62,8.46404158779953,0.014106735979665877,9.022749026765624,0.0,0.0,0.4,0.2,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.2,0,stationary,full,10
7.034492153960771e+89,3.387510173965243e+87,7.034492153960771e+89,415.4,0.6923333333333332,415.2,0.0,0.0,1.6732977309877452e+90,7.454309517132553e+87,1.6732977309877452e+90,12.491597175701754,0.020819328626169597,12.456323695216016,0.0,0.0,0.4,0.3,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.3,0,stationary,full,10
4.978863006477331e+138,1.7209618967222325e+136,4.978863006477331e+138,399.7,0.6661666666666667,399.5,0.0,0.0,1.205554492686417e+139,3.816943502533313e+136,1.205554492686417e+139,12.696850003051937,0.021161416671753246,12.978828914813539,0.0,0.0,0.4,0.5,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,222.0,0.37,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,3.9496835316262997,0.006582805886043828,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.5,0,stationary,full,10
2.4222137374746662e+181,7.037512077498315e+178,2.4222137374746662e+181,391.3,0.6521666666666667,391.3,0.0,0.0,inf,inf,inf,14.04314779527724,0.023405246325462068,14.04314779527724,0.0,0.0,0.4,0.7,0,stationary,none,10
