seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
43,E+RV,1.0,0.1,285,215,0.57,0.08482142857142858,0.7192982456140351,0.8367346938775511,0.7735849056603773,0.6885245901639344,19
43,E+RV,1.0,0.15,331,169,0.662,0.11067193675889328,0.6797583081570997,0.9183673469387755,0.78125,0.540983606557377,28
43,E+RV,1.0,0.2,369,131,0.738,0.13553113553113552,0.6395663956639567,0.963265306122449,0.7687296416938111,0.39344262295081966,37
43,E+RV,1.0,0.3,400,100,0.8,0.15916955017301038,0.6075,0.9918367346938776,0.7534883720930233,0.24590163934426235,46
43,E+RV,1.0,0.5,421,79,0.842,0.18456375838926176,0.5771971496437055,0.9918367346938776,0.7297297297297298,0.09836065573770492,55
43,E+RV,1.5,0.01,67,433,0.134,0.05263157894736842,0.8059701492537313,0.22040816326530613,0.3461538461538461,0.9508196721311475,3
43,E+RV,1.5,0.05,167,333,0.334,0.07042253521126761,0.7904191616766467,0.5387755102040817,0.6407766990291263,0.8360655737704918,10
43,E+RV,1.5,0.1,256,244,0.512,0.0794392523364486,0.76953125,0.8040816326530612,0.7864271457085829,0.7213114754098361,17
43,E+RV,1.5,0.15,297,203,0.594,0.10699588477366255,0.7306397306397306,0.8857142857142857,0.8007380073800738,0.5737704918032787,26
43,E+RV,1.5,0.2,325,175,0.65,0.1297709923664122,0.7015384615384616,0.9306122448979591,0.8,0.4426229508196722,34
43,E+RV,1.5,0.3,351,149,0.702,0.14855072463768115,0.6695156695156695,0.9591836734693877,0.7885906040268456,0.3278688524590164,41
43,E+RV,1.5,0.5,363,137,0.726,0.16370106761565836,0.6473829201101928,0.9591836734693877,0.7730263157894737,0.24590163934426235,46
43,E+RV,2.0,0.01,55,445,0.11,0.04081632653061224,0.8545454545454545,0.19183673469387755,0.3133333333333333,0.9672131147540983,2
43,E+RV,2.0,0.05,143,357,0.286,0.06923076923076923,0.8461538461538461,0.49387755102040815,0.6237113402061856,0.8524590163934427,9
43,E+RV,2.0,0.1,223,277,0.446,0.07614213197969544,0.8161434977578476,0.7428571428571429,0.7777777777777778,0.7540983606557377,15
43,E+RV,2.0,0.15,253,247,0.506,0.10407239819004525,0.782608695652174,0.8081632653061225,0.7951807228915663,0.6229508196721312,23
43,E+RV,2.0,0.2,275,225,0.55,0.12552301255230125,0.76,0.8530612244897959,0.8038461538461538,0.5081967213114754,30
43,E+RV,2.0,0.3,295,205,0.59,0.14342629482071714,0.7288135593220338,0.8775510204081632,0.7962962962962963,0.4098360655737705,36
43,E+RV,2.0,0.5,303,197,0.606,0.15019762845849802,0.7095709570957096,0.8775510204081632,0.7846715328467154,0.3770491803278688,38
43,E+RV,2.5,0.01,46,454,0.092,0.046511627906976744,0.8913043478260869,0.1673469387755102,0.281786941580756,0.9672131147540983,2
43,E+RV,2.5,0.05,113,387,0.226,0.05504587155963303,0.911504424778761,0.4204081632653061,0.5754189944134078,0.9016393442622951,6
