seed,severity,detector,delay,pre_fpr,arl0
45,severe,adwin,700,0.0,300
46,severe,entropy_weighted,124,0.03333333333333333,0
46,severe,uniform,700,0.03333333333333333,0
46,severe,adwin,700,0.0,300
47,severe,entropy_weighted,191,0.03333333333333333,0
47,severe,uniform,191,0.03333333333333333,0
47,severe,adwin,196,0.0,300
48,severe,entropy_weighted,700,0.03333333333333333,0
48,severe,uniform,700,0.03333333333333333,0
48,severe,adwin,700,0.0,300
49,severe,entropy_weighted,700,0.03333333333333333,0
49,severe,uniform,700,0.03333333333333333,0
49,severe,adwin,623,0.0,300
50,severe,entropy_weighted,482,0.03333333333333333,0
50,severe,uniform,700,0.03333333333333333,0
50,severe,adwin,700,0.0,300
51,severe,entropy_weighted,700,0.03333333333333333,0
51,severe,uniform,700,0.03333333333333333,0
51,severe,adwin,700,0.0,300
52,severe,entropy_weighted,223,0.03333333333333333,0
52,severe,uniform,700,0.03333333333333333,0
52,severe,adwin,674,0.0,300
53,severe,entropy_weighted,700,0.03333333333333333,0
53,severe,uniform,700,0.03333333333333333,0
53,severe,adwin,653,0.0,300
54,severe,entropy_weighted,134,0.03333333333333333,0
54,severe,uniform,137,0.03333333333333333,0
54,severe,adwin,700,0.0,300
55,severe,entropy_weighted,123,0.03333333333333333,0
55,severe,uniform,126,0.03333333333333333,0
55,severe,adwin,700,0.0,300
56,severe,entropy_weighted,700,0.03333333333333333,0
56,severe,uniform,700,0.03333333333333333,0
56,severe,adwin,700,0.0,300
57,severe,entropy_weighted,700,0.03333333333333333,0
57,severe,uniform,700,0.03333333333333333,0
57,severe,adwin,700,0.0,300
58,severe,entropy_weighted,700,0.03333333333333333,0
58,severe,uniform,700,0.03333333333333333,0
58,severe,adwin,700,0.0,300
59,severe,entropy_weighted,700,0.03333333333333333,0
59,severe,uniform,700,0.03333333333333333,0
59,severe,adwin,700,0.0,300
60,severe,entropy_weighted,57,0.03333333333333333,0
60,severe,uniform,60,0.03333333333333333,0
60,severe,adwin,325,0.0,300
61,severe,entropy_weighted,700,0.03333333333333333,0
61,severe,uniform,700,0.03333333333333333,0
61,severe,adwin,653,0.0,300
62,severe,entropy_weighted,39,0.03333333333333333,0
62,severe,uniform,42,0.03333333333333333,0
62,severe,adwin,166,0.0,300
63,severe,entropy_weighted,60,0.03333333333333333,0
63,severe,uniform,106,0.03333333333333333,0
63,severe,adwin,542,0.0,300
64,severe,entropy_weighted,79,0.03333333333333333,0
64,severe,uniform,82,0.03333333333333333,0
64,severe,adwin,700,0.0,300
65,severe,entropy_weighted,700,0.03333333333333333,0
65,severe,uniform,700,0.03333333333333333,0
65,severe,adwin,700,0.0,300
66,severe,entropy_weighted,700,0.03333333333333333,0
66,severe,uniform,700,0.03333333333333333,0
66,severe,adwin,700,0.0,300
67,severe,entropy_weighted,45,0.03333333333333333,0
67,severe,uniform,286,0.03333333333333333,0
67,severe,adwin,304,0.0,300
68,severe,entropy_weighted,60,0.03333333333333333,0
68,severe,uniform,60,0.03333333333333333,0
68,severe,adwin,297,0.0,300
69,severe,entropy_weighted,700,0.03333333333333333,0
69,severe,uniform,700,0.03333333333333333,0
69,severe,adwin,700,0.0,300
70,severe,entropy_weighted,700,0.03333333333333333,0
70,severe,uniform,700,0.03333333333333333,0
70,severe,adwin,700,0.0,300
71,severe,entropy_weighted,324,0.03333333333333333,0
71,severe,uniform,325,0.03333333333333333,0
71,severe,adwin,700,0.0,300
72,severe,entropy_weighted,229,0.03333333333333333,0
72,severe,uniform,232,0.03333333333333333,0
72,severe,adwin,349,0.0,300
73,severe,entropy_weighted,48,0.03333333333333333,0
73,severe,uniform,49,0.03333333333333333,0
73,severe,adwin,185,0.0,300
74,severe,entropy_weighted,700,0.03333333333333333,0
74,severe,uniform,700,0.03333333333333333,0
74,severe,adwin,700,0.0,300
75,severe,entropy_weighted,700,0.03333333333333333,0
75,severe,uniform,700,0.03333333333333333,0
